38949.0,13456,188,103 
P-1,U-4,0,53,0,99,106,55
P-2,U-6,184,98,63,240,197,144
P-3,U-5,200,198,201,242,299,252
P-4,U-4,0,106,64,108,181,120
P-5,U-4,0,106,0,88,164,64
P-6,U-6,0,260,161,91,316,245
P-7,NONE,-1,-1,-1,-1,-1,-1
P-8,NONE,-1,-1,-1,-1,-1,-1
P-9,U-6,96,204,63,169,275,151
P-10,U-6,0,0,158,88,70,243
P-11,NONE,-1,-1,-1,-1,-1,-1
P-12,NONE,-1,-1,-1,-1,-1,-1
P-13,NONE,-1,-1,-1,-1,-1,-1
P-14,NONE,-1,-1,-1,-1,-1,-1
P-15,U-3,105,230,121,189,279,181
P-16,U-5,191,96,103,239,189,166
P-17,U-3,0,209,105,83,272,162
P-18,NONE,-1,-1,-1,-1,-1,-1
P-19,NONE,-1,-1,-1,-1,-1,-1
P-20,U-6,96,98,63,184,204,119
P-21,NONE,-1,-1,-1,-1,-1,-1
P-22,NONE,-1,-1,-1,-1,-1,-1
P-23,U-3,166,142,74,217,192,184
P-24,NONE,-1,-1,-1,-1,-1,-1
P-25,U-3,189,230,121,233,307,174
P-26,U-4,0,258,159,69,314,232
P-27,U-1,0,100,97,93,162,146
P-28,U-4,116,57,0,197,121,95
P-29,U-2,0,109,98,62,195,151
P-30,NONE,-1,-1,-1,-1,-1,-1
P-31,NONE,-1,-1,-1,-1,-1,-1
P-32,U-2,0,109,0,70,153,98
P-33,U-4,116,0,171,206,89,244
P-34,NONE,-1,-1,-1,-1,-1,-1
P-35,NONE,-1,-1,-1,-1,-1,-1
P-36,U-6,0,171,0,86,251,78
P-37,U-4,57,181,64,116,257,115
P-38,NONE,-1,-1,-1,-1,-1,-1
P-39,NONE,-1,-1,-1,-1,-1,-1
P-40,U-2,0,261,0,70,306,90
P-41,U-5,88,96,171,192,186,239
P-42,U-3,90,109,154,152,218,195
P-43,NONE,-1,-1,-1,-1,-1,-1
P-44,U-6,96,276,151,180,316,200
P-45,U-6,0,84,80,91,156,161
P-46,U-3,56,0,0,127,62,94
P-47,NONE,-1,-1,-1,-1,-1,-1
P-48,NONE,-1,-1,-1,-1,-1,-1
P-49,U-5,96,274,0,165,314,100
P-50,U-6,96,0,181,169,104,245
P-51,NONE,-1,-1,-1,-1,-1,-1
P-52,NONE,-1,-1,-1,-1,-1,-1
P-53,NONE,-1,-1,-1,-1,-1,-1
P-54,NONE,-1,-1,-1,-1,-1,-1
P-55,NONE,-1,-1,-1,-1,-1,-1
P-56,NONE,-1,-1,-1,-1,-1,-1
P-57,U-4,116,106,95,199,170,154
P-58,U-4,116,89,171,211,191,226
P-59,NONE,-1,-1,-1,-1,-1,-1
P-60,NONE,-1,-1,-1,-1,-1,-1
P-61,U-4,0,181,64,57,290,159
P-62,NONE,-1,-1,-1,-1,-1,-1
P-63,NONE,-1,-1,-1,-1,-1,-1
P-64,NONE,-1,-1,-1,-1,-1,-1
P-65,NONE,-1,-1,-1,-1,-1,-1
P-66,NONE,-1,-1,-1,-1,-1,-1
P-67,NONE,-1,-1,-1,-1,-1,-1
P-68,U-3,56,0,94,148,46,175
P-69,U-3,105,270,0,189,317,54
P-70,NONE,-1,-1,-1,-1,-1,-1
P-71,U-3,0,269,0,99,312,60
P-72,NONE,-1,-1,-1,-1,-1,-1
P-73,U-6,96,98,0,200,184,63
P-74,NONE,-1,-1,-1,-1,-1,-1
P-75,U-4,69,258,159,143,301,244
P-76,U-2,106,181,0,146,273,96
P-77,NONE,-1,-1,-1,-1,-1,-1
P-78,NONE,-1,-1,-1,-1,-1,-1
P-79,NONE,-1,-1,-1,-1,-1,-1
P-80,U-6,201,204,151,244,289,195
P-81,NONE,-1,-1,-1,-1,-1,-1
P-82,U-6,169,0,181,235,71,278
P-83,NONE,-1,-1,-1,-1,-1,-1
